Código 	Empresas de Transporte
1	ReciclaCargo
2	VerdeMundo
3	ReciclaCargo
4	CargaVerde
5	Zsul
6	TransVida
7	VerdeMundo
8	VerdeMundo
9	VerdeMundo
10	VerdeMundo
11	TransVida
12	CargaVerde
13	VerdeMundo
14	TransVida
15	ReciclaCargo
16	VerdeMundo
17	Zsul
18	CargaVerde
19	TransVida
20	CargaVerde
21	Zsul
22	TransVida
23	Zsul
24	ReciclaCargo
25	TransVida
26	CargaVerde
27	CargaVerde
28	CargaVerde
29	TransVida
30	TransVida
31	Zsul
32	VerdeMundo
33	ReciclaCargo
34	TransVida
35	CargaVerde
36	VerdeMundo
37	ReciclaCargo
38	Zsul
39	ReciclaCargo
