Código da Empresa de Armazenagem	Código Região	papel (%)	metal(%)	vidro(%)	plástico(%)
392	4	25	50	56	39
604	7	45	73	3	19
347	2	8	6	34	28
630	33	62	42	57	54
501	20	31	34	38	24
369	22	33	19	77	28
811	22	10	13	55	6
707	20	67	12	35	29
118	17	11	14	9	51
386	18	56	77	4	25
130	17	25	50	56	39
237	9	69	7	15	29
918	21	10	70	4	39
984	11	6	25	28	26
952	20	33	46	75	9
373	29	46	8	67	37
557	19	35	25	24	9
815	3	28	22	3	64
566	21	63	36	53	62
911	38	60	35	57	74
455	11	25	50	56	39
570	17	59	36	18	21
562	2	32	22	69	5
311	11	4	49	28	6
826	6	9	13	58	60
623	26	64	11	60	23
691	10	71	65	24	61
577	38	26	75	17	20
676	9	33	1	70	55
202	16	28	11	6	50
433	30	25	50	56	39
932	11	60	49	9	23
722	7	4	40	38	50
840	39	17	45	26	15
412	4	41	45	70	15
161	32	58	74	11	63
497	26	47	20	27	11
634	7	2	56	11	54
